ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,physics,_,Physics,_,NNS,0,_,_,_,_,_,_,_,B-Degree
2,unk,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Degree
3,section,_,section,_,NN,0,_,_,_,_,_,_,_,I-Degree
4,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,I-Degree
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,I-Degree
6,letters,_,letter,_,NNS,0,_,_,_,_,_,_,_,I-Degree
7,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,physics,_,Physics,_,NNS,0,_,_,_,_,_,_,_,B-Degree
2,unk,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Degree
3,section,_,section,_,NN,0,_,_,_,_,_,_,_,I-Degree
4,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,I-Degree
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,I-Degree
6,letters,_,letter,_,NNS,0,_,_,_,_,_,_,_,I-Degree
7,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,physics,_,Physics,_,NNS,0,_,_,_,_,_,_,_,B-Degree
2,unk,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Degree
3,section,_,section,_,NN,0,_,_,_,_,_,_,_,I-Degree
4,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,I-Degree
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,I-Degree
6,letters,_,letter,_,NNS,0,_,_,_,_,_,_,_,I-Degree
7,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Degree
1,physics,_,Physics,_,NNS,0,_,_,_,_,_,_,_,B-Degree
2,unk,_,UNK,_,JJ,0,_,_,_,_,_,_,_,I-Degree
3,section,_,section,_,NN,0,_,_,_,_,_,_,_,I-Degree
4,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,I-Degree
