ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,for,_,For,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
2,many,_,Many,_,JJ,1,_,_,_,_,_,_,_,S-Time
3,patients,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Manner
4,who,_,Who,_,WP,1,_,_,_,_,_,_,_,I-Manner
5,use,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Manner
6,large,_,Large,_,JJ,1,_,_,_,_,_,_,_,I-Manner
7,amounts,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Manner
8,of,_,Of,_,IN,1,_,_,_,_,_,_,_,I-Manner
9,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Manner
11,services,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,I-Manner
12,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Manner
13,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Manner
14,need,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
15,is,_,Is,_,VBZ,1,_,_,_,_,_,_,_,I-Manner
16,intense,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
17,yet,_,Yet,_,NNP,1,_,_,_,_,_,_,_,I-Manner
18,temporary,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,for,_,For,_,IN,1,_,_,_,_,_,_,_,S-Q_prop
2,many,_,Many,_,JJ,1,_,_,_,_,_,many.a,Quantified_mass,S-Degree
3,patients,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Q_prop
4,who,_,Who,_,WP,1,_,_,_,_,_,_,_,I-Q_prop
5,use,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Q_prop
6,large,_,Large,_,JJ,1,_,_,_,_,_,_,_,I-Q_prop
7,amounts,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Q_prop
8,of,_,Of,_,IN,1,_,_,_,_,_,_,_,I-Q_prop
9,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
10,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
11,services,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,I-Q_prop
12,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Q_prop
13,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Q_prop
14,need,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
15,is,_,Is,_,VBZ,1,_,_,_,_,_,_,_,I-Q_prop
16,intense,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
17,yet,_,Yet,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
18,temporary,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Q_prop
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Q_prop
1,for,_,For,_,IN,1,_,_,_,_,_,_,_,B-Age
2,many,_,Many,_,JJ,1,_,_,_,_,_,_,_,I-Age
3,patients,_,UNK,_,NNS,1,_,_,_,_,_,_,_,S-Persistent_characteristic
4,who,_,Who,_,WP,1,_,_,_,_,_,who.UNK,People,O
5,use,_,UNK,_,VBP,1,_,_,_,_,_,_,_,B-Age
6,large,_,Large,_,JJ,1,_,_,_,_,_,_,_,I-Age
7,amounts,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
8,of,_,Of,_,IN,1,_,_,_,_,_,_,_,I-Age
9,health,_,Health,_,NNP,1,_,_,_,_,_,_,_,I-Age
10,care,_,Care,_,NNP,1,_,_,_,_,_,_,_,I-Age
11,services,_,UNK,_,NNPS,1,_,_,_,_,_,_,_,I-Age
12,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
13,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Age
14,need,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
15,is,_,Is,_,VBZ,1,_,_,_,_,_,_,_,I-Age
16,intense,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
17,yet,_,Yet,_,NNP,1,_,_,_,_,_,_,_,I-Age
18,temporary,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,for,_,For,_,IN,1,_,_,_,_,_,_,_,B-Dimension
2,many,_,Many,_,JJ,1,_,_,_,_,_,_,_,I-Dimension
3,patients,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Dimension
4,who,_,Who,_,WP,1,_,_,_,_,_,_,_,I-Dimension
5,use,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Dimension
6,large,_,Large,_,JJ,1,_,_,_,_,_,large.a,Size,S-Degree
7,amounts,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Dimension
