ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,in,_,In,_,IN,1,_,_,_,_,_,in.prep,Fields,O
2,vivo,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Type
3,acoustic,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
5,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Type
6,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
7,velocity,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
8,mapping,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
9,using,_,Using,_,NNP,1,_,_,_,_,_,_,_,I-Type
10,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Type
11,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,S-Relative_location
2,structure,_,structure,_,NN,2,_,_,_,_,_,structure.n,Buildings,O
3,of,_,of,_,IN,2,_,_,_,_,_,_,_,B-Type
4,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Type
5,can,_,can,_,MD,2,_,_,_,_,_,_,_,I-Type
6,not,_,not,_,RB,2,_,_,_,_,_,_,_,I-Type
7,be,_,be,_,VB,2,_,_,_,_,_,_,_,I-Type
8,resolved,_,resolve,_,VBN,2,_,_,_,_,_,_,_,I-Type
9,using,_,use,_,VBG,2,_,_,_,_,_,_,_,I-Type
10,standard,_,standard,_,JJ,2,_,_,_,_,_,_,_,I-Type
11,clinical,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Type
12,ultrasound,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Type
13,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Type
14,us,_,US,_,NNP,2,_,_,_,_,_,_,_,I-Type
15,),_,),_,),2,_,_,_,_,_,_,_,I-Type
16,imaging,_,image,_,VBG,2,_,_,_,_,_,_,_,I-Type
17,frequencies,_,frequency,_,NNS,2,_,_,_,_,_,_,_,I-Type
18,due,_,due,_,JJ,2,_,_,_,_,_,_,_,I-Type
19,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Type
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Type
21,fundamental,_,fundamental,_,JJ,2,_,_,_,_,_,_,_,I-Type
22,diffraction,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Type
23,limit,_,limit,_,NN,2,_,_,_,_,_,_,_,B-Function
24,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Function
25,us,_,US,_,NNP,2,_,_,_,_,_,_,_,I-Function
26,waves,_,wave,_,NNS,2,_,_,_,_,_,_,_,I-Function
27,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Function
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Age
2,structure,_,structure,_,NN,2,_,_,_,_,_,_,_,I-Age
3,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
4,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Age
5,can,_,can,_,MD,2,_,_,_,_,_,_,_,I-Age
6,not,_,not,_,RB,2,_,_,_,_,_,_,_,I-Age
7,be,_,be,_,VB,2,_,_,_,_,_,_,_,I-Age
8,resolved,_,resolve,_,VBN,2,_,_,_,_,_,_,_,I-Age
9,using,_,use,_,VBG,2,_,_,_,_,_,_,_,I-Age
10,standard,_,standard,_,JJ,2,_,_,_,_,_,_,_,I-Age
