ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,assessing,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Trajector
2,managerial,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Trajector
3,power,_,Power,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
4,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
5,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Trajector
6,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Trajector
7,meta-analytic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Trajector
8,approach,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Trajector
9,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
10,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Trajector
11,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Trajector
12,determinants,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Trajector
13,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Trajector
14,ceo,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
15,compensation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Trajector
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Trajector
1,assessing,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Age
2,managerial,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
3,power,_,Power,_,NNP,1,_,_,_,_,_,_,_,I-Age
4,theory,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
5,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
6,a,_,A,_,DT,1,_,_,_,_,_,_,_,I-Age
7,meta-analytic,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
8,approach,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
9,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Age
10,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,I-Age
11,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Age
12,determinants,_,UNK,_,NNS,1,_,_,_,_,_,_,_,B-Degree
13,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,I-Degree
14,ceo,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
15,compensation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Degree
16,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,although,_,Although,_,IN,2,_,_,_,_,_,although.scon,Concessive,O
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,B-Main_assertion
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Main_assertion
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Main_assertion
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Main_assertion
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Main_assertion
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Main_assertion
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Main_assertion
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Main_assertion
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Main_assertion
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Main_assertion
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Main_assertion
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Main_assertion
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Main_assertion
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Main_assertion
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Main_assertion
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Main_assertion
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Main_assertion
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Main_assertion
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Main_assertion
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Main_assertion
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Main_assertion
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Main_assertion
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Main_assertion
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,O
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,O
28,",",_,",",_,",",2,_,_,_,_,_,_,_,O
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,O
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
31,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Denoted_quantity
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Denoted_quantity
3,about,_,about,_,IN,2,_,_,_,_,_,about.prep,Proportional_quantity,S-Degree
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,S-Mass
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Q_prop
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Q_prop
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Q_prop
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Q_prop
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Q_prop
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Q_prop
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Q_prop
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Q_prop
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Q_prop
28,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Q_prop
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,I-Q_prop
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Q_prop
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Q_prop
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Degree
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Degree
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Degree
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Degree
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
6,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,I-Degree
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Degree
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Degree
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Degree
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,B-Age
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Age
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Age
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Age
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Age
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Age
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Age
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,I-Age
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Age
28,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,I-Age
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Figure
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Figure
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Figure
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Figure
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Figure
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Figure
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Figure
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Figure
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,S-Directness
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,ubiquitous.a,Locative_relation,O
11,",",_,",",_,",",2,_,_,_,_,_,_,_,O
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,B-Figure
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Figure
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Figure
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Figure
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Figure
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Figure
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Figure
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Figure
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Figure
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Figure
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Figure
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Figure
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Figure
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Figure
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,I-Figure
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Figure
28,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Figure
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,I-Figure
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Figure
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Figure
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Age
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Age
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Age
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Age
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Age
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Age
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Age
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Age
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Age
14,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,B-Age
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,I-Age
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Age
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Age
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Age
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Age
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,I-Age
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Age
28,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,I-Age
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Age
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Degree
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Degree
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Degree
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Degree
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Degree
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Degree
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Degree
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Degree
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Degree
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Degree
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Degree
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Degree
16,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,I-Degree
17,one,_,one,_,CD,2,_,_,_,_,_,_,_,B-Manner
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Manner
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Manner
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Manner
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Manner
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
26,power,_,power,_,NN,2,_,_,_,_,_,_,_,I-Manner
27,theory,_,theory,_,NN,2,_,_,_,_,_,_,_,I-Manner
28,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
29,remains,_,remain,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
30,inconclusive,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Manner
31,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,although,_,Although,_,IN,2,_,_,_,_,_,_,_,B-Unit
2,studies,_,study,_,NNS,2,_,_,_,_,_,_,_,I-Unit
3,about,_,about,_,IN,2,_,_,_,_,_,_,_,I-Unit
4,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
5,determinants,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Unit
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Unit
7,ceo,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Unit
8,compensation,_,compensation,_,NN,2,_,_,_,_,_,_,_,I-Unit
9,are,_,be,_,VBP,2,_,_,_,_,_,_,_,I-Unit
10,ubiquitous,_,ubiquitous,_,JJ,2,_,_,_,_,_,_,_,I-Unit
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Unit
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
13,balance,_,balance,_,NN,2,_,_,_,_,_,_,_,I-Unit
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Unit
15,evidence,_,evidence,_,NN,2,_,_,_,_,_,_,_,I-Unit
16,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Unit
17,one,_,one,_,CD,2,_,_,_,_,_,one.num,Cardinal_numbers,O
18,of,_,of,_,IN,2,_,_,_,_,_,_,_,B-Unit
19,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Unit
20,more,_,more,_,RBR,2,_,_,_,_,_,_,_,I-Unit
21,controversial,_,controversial,_,JJ,2,_,_,_,_,_,_,_,I-Unit
22,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Unit
23,approaches,_,approach,_,NNS,2,_,_,_,_,_,_,_,I-Unit
24,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Unit
25,managerial,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Unit
