ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,agreement,_,Agreement,_,JJ,1,_,_,_,_,_,agreement.n,Be_in_agreement_on_action,S-Degree
2,attraction,_,attraction,_,NN,1,_,_,_,_,_,_,_,B-Manner
3,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
4,spanish,_,Spanish,_,JJ,1,_,_,_,_,_,_,_,I-Manner
5,comprehension,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
6,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,agreement,_,Agreement,_,JJ,1,_,_,_,_,_,_,_,O
2,attraction,_,attraction,_,NN,1,_,_,_,_,_,_,_,O
3,in,_,in,_,IN,1,_,_,_,_,_,in.prep,Fields,S-Practitioner
4,spanish,_,Spanish,_,JJ,1,_,_,_,_,_,_,_,O
5,comprehension,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
6,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,memory,_,memory,_,NN,0,_,_,_,_,_,memory.n,Remembering_experience,O
4,and,_,and,_,CC,0,_,_,_,_,_,_,_,O
5,language,_,language,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
