ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Descriptor
2,toolbox,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,nonlinear,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
5,regression,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
6,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Cognizer
7,r,_,R,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Cognizer
9,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Cognizer
10,package,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Degree
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Degree
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Activity
2,toolbox,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
3,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Activity
4,nonlinear,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
5,regression,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
6,in,_,in,_,IN,1,_,_,_,_,_,in.prep,Fields,O
7,r,_,R,_,NNP,1,_,_,_,_,_,_,_,B-Work
8,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Work
9,the,_,The,_,DT,1,_,_,_,_,_,_,_,I-Work
10,package,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
11,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
12,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,S-Exchanger_2
2,change,_,change,_,NN,2,_,_,_,_,_,change.n,Exchange,O
3,point,_,point,_,NN,2,_,_,_,_,_,_,_,B-Manner
4,model,_,model,_,NN,2,_,_,_,_,_,_,_,I-Manner
5,framework,_,framework,_,NN,2,_,_,_,_,_,_,_,I-Manner
6,introduced,_,introduce,_,VBN,2,_,_,_,_,_,_,_,I-Manner
7,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
8,hawkins,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
9,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
10,qiu,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
11,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Manner
12,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
13,kang,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
14,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
15,2003,_,2003,_,CD,2,_,_,_,_,_,_,_,I-Manner
16,),_,),_,),2,_,_,_,_,_,_,_,I-Manner
17,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
18,hawkins,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
19,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
20,zamba,_,UNK,_,NNP,2,_,_,_,_,_,_,_,I-Manner
21,(,_,(,_,(,2,_,_,_,_,_,_,_,I-Manner
22,2005a,_,UNK,_,CD,2,_,_,_,_,_,_,_,I-Manner
23,),_,),_,),2,_,_,_,_,_,_,_,O
24,provides,_,provide,_,VBZ,2,_,_,_,_,_,_,_,O
25,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
26,effective,_,effective,_,JJ,2,_,_,_,_,_,_,_,O
27,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
28,computationally,_,UNK,_,RB,2,_,_,_,_,_,_,_,O
29,efficient,_,efficient,_,JJ,2,_,_,_,_,_,_,_,O
30,method,_,method,_,NN,2,_,_,_,_,_,_,_,O
31,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
32,detecting,_,detect,_,VBG,2,_,_,_,_,_,_,_,O
33,multiple,_,multiple,_,JJ,2,_,_,_,_,_,_,_,O
34,mean,_,mean,_,NN,2,_,_,_,_,_,_,_,O
35,or,_,or,_,CC,2,_,_,_,_,_,_,_,O
36,variance,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
37,change,_,change,_,NN,2,_,_,_,_,_,_,_,O
38,points,_,point,_,NNS,2,_,_,_,_,_,_,_,O
39,in,_,in,_,IN,2,_,_,_,_,_,_,_,O
40,sequences,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
41,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
42,gaussian,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
43,random,_,random,_,NN,2,_,_,_,_,_,_,_,O
44,variables,_,variable,_,NNS,2,_,_,_,_,_,_,_,O
45,",",_,",",_,",",2,_,_,_,_,_,_,_,O
46,when,_,when,_,WRB,2,_,_,_,_,_,_,_,O
47,no,_,no,_,DT,2,_,_,_,_,_,_,_,O
48,prior,_,prior,_,JJ,2,_,_,_,_,_,_,_,O
49,information,_,information,_,NN,2,_,_,_,_,_,_,_,O
50,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
51,available,_,available,_,JJ,2,_,_,_,_,_,_,_,O
52,regarding,_,regard,_,VBG,2,_,_,_,_,_,_,_,O
53,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
54,parameters,_,parameter,_,NNS,2,_,_,_,_,_,_,_,O
55,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
