ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,S-Age
2,quality,_,quality,_,NN,1,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
4,hospital,_,hospital,_,NN,1,_,_,_,_,_,_,_,B-Age
5,work,_,work,_,NN,1,_,_,_,_,_,_,_,I-Age
6,environments,_,environment,_,NNS,1,_,_,_,_,_,_,_,I-Age
7,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
8,missed,_,miss,_,VBD,1,_,_,_,_,_,_,_,I-Age
9,nursing,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
10,care,_,care,_,NN,1,_,_,_,_,_,_,_,I-Age
11,is,_,be,_,VBZ,1,_,_,_,_,_,_,_,I-Age
12,linked,_,link,_,VBN,1,_,_,_,_,_,_,_,I-Age
13,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Age
14,heart,_,heart,_,NN,1,_,_,_,_,_,_,_,I-Age
15,failure,_,failure,_,NN,1,_,_,_,_,_,_,_,I-Age
16,readmissions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Age
17,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
18,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Age
19,cross-sectional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
20,study,_,study,_,NN,1,_,_,_,_,_,_,_,I-Age
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Age
22,us,_,US,_,NNP,1,_,_,_,_,_,_,_,I-Age
23,hospitals,_,hospital,_,NNS,1,_,_,_,_,_,_,_,I-Age
24,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Agent
2,quality,_,quality,_,NN,1,_,_,_,_,_,_,_,I-Agent
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Agent
4,hospital,_,hospital,_,NN,1,_,_,_,_,_,_,_,I-Agent
5,work,_,work,_,NN,1,_,_,_,_,_,_,_,I-Agent
6,environments,_,environment,_,NNS,1,_,_,_,_,_,_,_,I-Agent
7,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Agent
8,missed,_,miss,_,VBD,1,_,_,_,_,_,miss.v,Success_or_failure,S-Degree
9,nursing,_,UNK,_,NN,1,_,_,_,_,_,_,_,B-Depictive
10,care,_,care,_,NN,1,_,_,_,_,_,_,_,I-Depictive
11,is,_,be,_,VBZ,1,_,_,_,_,_,_,_,I-Depictive
12,linked,_,link,_,VBN,1,_,_,_,_,_,_,_,I-Depictive
13,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Depictive
14,heart,_,heart,_,NN,1,_,_,_,_,_,_,_,I-Depictive
15,failure,_,failure,_,NN,1,_,_,_,_,_,_,_,I-Depictive
16,readmissions,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Depictive
17,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Depictive
18,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Depictive
19,cross-sectional,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Depictive
20,study,_,study,_,NN,1,_,_,_,_,_,_,_,I-Depictive
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Depictive
22,us,_,US,_,NNP,1,_,_,_,_,_,_,_,I-Depictive
23,hospitals,_,hospital,_,NNS,1,_,_,_,_,_,_,_,I-Depictive
24,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Depictive
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,O
2,quality,_,quality,_,NN,1,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
