ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,reports,_,Reports,_,NNS,0,_,_,_,_,_,_,_,B-Manner
2,on,_,on,_,IN,0,_,_,_,_,_,_,_,I-Manner
3,progress,_,progress,_,NN,0,_,_,_,_,_,progress.n,Progression,S-Degree
4,in,_,in,_,IN,0,_,_,_,_,_,_,_,S-Rate
5,physics,_,physic,_,NNS,0,_,_,_,_,_,_,_,B-Prior_state
6,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Prior_state
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
2,dynamics,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
4,entanglement,_,entanglement,_,NN,1,_,_,_,_,_,_,_,B-Age
5,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
6,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Age
7,key,_,key,_,JJ,1,_,_,_,_,_,_,_,B-Degree
8,issues,_,issue,_,NNS,1,_,_,_,_,_,_,_,I-Degree
9,review,_,review,_,NN,1,_,_,_,_,_,_,_,I-Degree
10,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Participant_1
2,dynamics,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Participant_1
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Participant_1
4,entanglement,_,entanglement,_,NN,1,_,_,_,_,_,entanglement.n,Participation,O
5,:,_,:,_,:,1,_,_,_,_,_,_,_,B-Time
6,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Time
7,key,_,key,_,JJ,1,_,_,_,_,_,_,_,B-Participant_1
8,issues,_,issue,_,NNS,1,_,_,_,_,_,_,_,I-Participant_1
9,review,_,review,_,NN,1,_,_,_,_,_,_,_,I-Participant_1
10,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Participant_1
