ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Descriptor
2,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,I-Descriptor
3,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Descriptor
4,multipurpose,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Descriptor
5,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Descriptor
6,knowledge,_,knowledge,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
7,base,_,base,_,NN,2,_,_,_,_,_,_,_,I-Descriptor
8,for,_,for,_,IN,2,_,_,_,_,_,for.prep,Taking_sides,B-Degree
9,natural,_,natural,_,JJ,2,_,_,_,_,_,_,_,I-Degree
10,language,_,language,_,NN,2,_,_,_,_,_,_,_,I-Degree
11,processing,_,processing,_,NN,2,_,_,_,_,_,_,_,I-Degree
12,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Degree
13,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
14,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Degree
15,more,_,more,_,JJR,2,_,_,_,_,_,_,_,I-Degree
16,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,I-Degree
17,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Degree
18,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Degree
19,natural,_,natural,_,JJ,2,_,_,_,_,_,_,_,I-Degree
20,language,_,language,_,NN,2,_,_,_,_,_,_,_,I-Degree
21,understanding,_,understanding,_,NN,2,_,_,_,_,_,_,_,I-Degree
22,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,O
2,is,_,be,_,VBZ,2,_,_,_,_,_,_,_,O
3,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
4,multipurpose,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
5,unk,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
6,knowledge,_,knowledge,_,NN,2,_,_,_,_,_,_,_,O
7,base,_,base,_,NN,2,_,_,_,_,_,_,_,O
8,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
9,natural,_,natural,_,JJ,2,_,_,_,_,_,_,_,O
10,language,_,language,_,NN,2,_,_,_,_,_,_,_,O
11,processing,_,processing,_,NN,2,_,_,_,_,_,_,_,O
12,systems,_,system,_,NNS,2,_,_,_,_,_,system.n,Gizmo,O
13,",",_,",",_,",",2,_,_,_,_,_,_,_,O
14,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
15,more,_,more,_,JJR,2,_,_,_,_,_,_,_,O
16,particularly,_,particularly,_,RB,2,_,_,_,_,_,_,_,O
17,",",_,",",_,",",2,_,_,_,_,_,_,_,O
18,for,_,for,_,IN,2,_,_,_,_,_,_,_,O
19,natural,_,natural,_,JJ,2,_,_,_,_,_,_,_,O
20,language,_,language,_,NN,2,_,_,_,_,_,_,_,O
21,understanding,_,understanding,_,NN,2,_,_,_,_,_,_,_,O
22,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,unk,_,UNK,_,NNP,2,_,_,_,_,_,_,_,B-Topic
