ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,legumes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,B-Concept_1
2,form,_,form,_,VBP,2,_,_,_,_,_,_,_,I-Concept_1
3,symbiotic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Concept_1
4,relationship,_,relationship,_,NN,2,_,_,_,_,_,relationship.n,Cognitive_connection,S-Degree
5,with,_,with,_,IN,2,_,_,_,_,_,_,_,B-Concept_1
6,unk,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Concept_1
7,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Concept_1
8,rhizobia,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Concept_1
9,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Concept_1
1,weedy,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Instrument
2,(,_,(,_,(,1,_,_,_,_,_,_,_,I-Instrument
3,red,_,Red,_,NNP,1,_,_,_,_,_,_,_,I-Instrument
4,),_,),_,),1,_,_,_,_,_,_,_,I-Instrument
5,rice,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Instrument
6,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Instrument
7,an,_,An,_,DT,1,_,_,_,_,_,_,_,I-Instrument
8,emerging,_,Emerging,_,VBG,1,_,_,_,_,_,_,_,I-Instrument
9,constraint,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Instrument
10,to,_,to,_,TO,1,_,_,_,_,_,_,_,I-Instrument
11,global,_,Global,_,NNP,1,_,_,_,_,_,_,_,I-Instrument
12,rice,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Purpose
13,production,_,Production,_,NNP,1,_,_,_,_,_,production.n,Creating,O
14,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Recipient
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Manner
2,challenge,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Manner
4,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
5,urine,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
6,patch,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
7,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
8,managing,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Manner
9,nitrogen,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
10,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
11,grazed,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
12,pasture,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
13,systems,_,Systems,_,NNPS,1,_,_,_,_,_,_,_,I-Manner
14,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,the,_,The,_,DT,1,_,_,_,_,_,_,_,B-Descriptor
2,use,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
3,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Descriptor
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Descriptor
