ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,identity,_,Identity,_,NN,1,_,_,_,_,_,identity.n,Identicality,O
2,in,_,in,_,IN,1,_,_,_,_,_,_,_,B-Set_of_instances
3,written,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Set_of_instances
4,discourse,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Set_of_instances
5,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Set_of_instances
1,this,_,This,_,DT,2,_,_,_,_,_,_,_,B-Cotheme
2,article,_,article,_,NN,2,_,_,_,_,_,_,_,I-Cotheme
3,provides,_,provide,_,VBZ,2,_,_,_,_,_,provide.v,Supply,O
4,an,_,an,_,DT,2,_,_,_,_,_,_,_,S-Cotheme
5,overview,_,overview,_,NN,2,_,_,_,_,_,_,_,B-Manner
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
7,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Manner
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
9,research,_,research,_,NN,2,_,_,_,_,_,_,_,I-Manner
10,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,I-Manner
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
13,study,_,study,_,NN,2,_,_,_,_,_,_,_,I-Manner
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
15,writer,_,writer,_,NN,2,_,_,_,_,_,_,_,I-Manner
16,identity,_,identity,_,NN,2,_,_,_,_,_,_,_,I-Manner
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Manner
18,written,_,write,_,VBN,2,_,_,_,_,_,_,_,I-Manner
19,discourse,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,this,_,This,_,DT,2,_,_,_,_,_,_,_,O
2,article,_,article,_,NN,2,_,_,_,_,_,_,_,O
3,provides,_,provide,_,VBZ,2,_,_,_,_,_,_,_,O
4,an,_,an,_,DT,2,_,_,_,_,_,_,_,O
5,overview,_,overview,_,NN,2,_,_,_,_,_,_,_,O
6,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
7,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,B-Age
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Age
9,research,_,research,_,NN,2,_,_,_,_,_,_,_,I-Age
10,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,I-Age
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Age
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
13,study,_,study,_,NN,2,_,_,_,_,_,_,_,B-Degree
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Degree
15,writer,_,writer,_,NN,2,_,_,_,_,_,_,_,I-Degree
16,identity,_,identity,_,NN,2,_,_,_,_,_,_,_,I-Degree
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Degree
18,written,_,write,_,VBN,2,_,_,_,_,_,_,_,I-Degree
19,discourse,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Degree
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Degree
1,this,_,This,_,DT,2,_,_,_,_,_,_,_,B-Manner
2,article,_,article,_,NN,2,_,_,_,_,_,_,_,I-Manner
3,provides,_,provide,_,VBZ,2,_,_,_,_,_,_,_,I-Manner
4,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Manner
5,overview,_,overview,_,NN,2,_,_,_,_,_,_,_,I-Manner
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
7,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Manner
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
9,research,_,research,_,NN,2,_,_,_,_,_,research.n,Research,S-Researcher
10,issues,_,issue,_,NNS,2,_,_,_,_,_,_,_,B-Purpose
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Purpose
13,study,_,study,_,NN,2,_,_,_,_,_,_,_,I-Purpose
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Purpose
15,writer,_,writer,_,NN,2,_,_,_,_,_,_,_,I-Purpose
16,identity,_,identity,_,NN,2,_,_,_,_,_,_,_,I-Purpose
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Purpose
18,written,_,write,_,VBN,2,_,_,_,_,_,_,_,I-Purpose
19,discourse,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Purpose
20,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Purpose
1,this,_,This,_,DT,2,_,_,_,_,_,_,_,B-Time
2,article,_,article,_,NN,2,_,_,_,_,_,_,_,I-Time
3,provides,_,provide,_,VBZ,2,_,_,_,_,_,_,_,I-Time
4,an,_,an,_,DT,2,_,_,_,_,_,_,_,I-Time
5,overview,_,overview,_,NN,2,_,_,_,_,_,_,_,I-Time
6,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
7,theoretical,_,theoretical,_,JJ,2,_,_,_,_,_,_,_,I-Time
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Time
9,research,_,research,_,NN,2,_,_,_,_,_,_,_,I-Time
10,issues,_,issue,_,NNS,2,_,_,_,_,_,issue.n,Point_of_dispute,O
11,in,_,in,_,IN,2,_,_,_,_,_,_,_,B-Descriptor
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Descriptor
13,study,_,study,_,NN,2,_,_,_,_,_,_,_,O
14,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
