ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
2,planning,_,planning,_,NN,2,_,_,_,_,_,_,_,O
3,of,_,of,_,IN,2,_,_,_,_,_,of.prep,Age,S-Degree
4,large,_,large,_,JJ,2,_,_,_,_,_,_,_,B-Age
5,infrastructure,_,infrastructure,_,NN,2,_,_,_,_,_,_,_,I-Age
6,facilities,_,facility,_,NNS,2,_,_,_,_,_,_,_,I-Age
7,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Age
8,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Age
9,inner-city,_,inner-city,_,NN,2,_,_,_,_,_,_,_,I-Age
10,subway,_,subway,_,NN,2,_,_,_,_,_,_,_,I-Age
11,tracks,_,track,_,NNS,2,_,_,_,_,_,_,_,I-Age
12,requires,_,require,_,VBZ,2,_,_,_,_,_,_,_,I-Age
13,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
14,consideration,_,consideration,_,NN,2,_,_,_,_,_,_,_,I-Age
15,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
16,widely,_,widely,_,RB,2,_,_,_,_,_,_,_,I-Age
17,differing,_,differ,_,VBG,2,_,_,_,_,_,_,_,I-Age
18,scales,_,scale,_,NNS,2,_,_,_,_,_,_,_,I-Age
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Age
20,ranging,_,range,_,VBG,2,_,_,_,_,_,_,_,I-Age
21,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Age
22,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
23,kilometer,_,kilometer,_,NN,2,_,_,_,_,_,_,_,I-Age
24,scale,_,scale,_,NN,2,_,_,_,_,_,_,_,I-Age
25,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
26,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
27,general,_,general,_,JJ,2,_,_,_,_,_,_,_,I-Age
28,routing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Age
29,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
30,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
31,track,_,track,_,NN,2,_,_,_,_,_,_,_,I-Age
32,down,_,down,_,RB,2,_,_,_,_,_,_,_,I-Age
33,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Age
34,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Age
35,centimeter,_,centimeter,_,NN,2,_,_,_,_,_,_,_,I-Age
36,scale,_,scale,_,NN,2,_,_,_,_,_,_,_,I-Age
37,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Age
38,detailed,_,detailed,_,JJ,2,_,_,_,_,_,_,_,I-Age
39,design,_,design,_,NN,2,_,_,_,_,_,_,_,I-Age
40,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Age
41,connection,_,connection,_,NN,2,_,_,_,_,_,_,_,I-Age
42,points,_,point,_,NNS,2,_,_,_,_,_,_,_,I-Age
43,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Age
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Dimension
2,planning,_,planning,_,NN,2,_,_,_,_,_,_,_,I-Dimension
3,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Dimension
4,large,_,large,_,JJ,2,_,_,_,_,_,large.a,Size,S-Degree
5,infrastructure,_,infrastructure,_,NN,2,_,_,_,_,_,_,_,B-Dimension
6,facilities,_,facility,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
7,such,_,such,_,JJ,2,_,_,_,_,_,_,_,I-Dimension
8,as,_,a,_,IN,2,_,_,_,_,_,_,_,I-Dimension
9,inner-city,_,inner-city,_,NN,2,_,_,_,_,_,_,_,I-Dimension
10,subway,_,subway,_,NN,2,_,_,_,_,_,_,_,I-Dimension
11,tracks,_,track,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
12,requires,_,require,_,VBZ,2,_,_,_,_,_,_,_,I-Dimension
13,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Dimension
14,consideration,_,consideration,_,NN,2,_,_,_,_,_,_,_,I-Dimension
15,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Dimension
16,widely,_,widely,_,RB,2,_,_,_,_,_,_,_,I-Dimension
17,differing,_,differ,_,VBG,2,_,_,_,_,_,_,_,I-Dimension
18,scales,_,scale,_,NNS,2,_,_,_,_,_,_,_,I-Dimension
19,",",_,",",_,",",2,_,_,_,_,_,_,_,I-Dimension
20,ranging,_,range,_,VBG,2,_,_,_,_,_,_,_,I-Dimension
21,from,_,from,_,IN,2,_,_,_,_,_,_,_,I-Dimension
22,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Dimension
23,kilometer,_,kilometer,_,NN,2,_,_,_,_,_,_,_,I-Dimension
24,scale,_,scale,_,NN,2,_,_,_,_,_,_,_,I-Dimension
25,for,_,for,_,IN,2,_,_,_,_,_,_,_,I-Dimension
26,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Dimension
27,general,_,general,_,JJ,2,_,_,_,_,_,_,_,I-Dimension
28,routing,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Dimension
29,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Dimension
