ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,multi-scale,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Age
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
3,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
4,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
5,shield,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Age
6,tunnels,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
7,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Age
8,gis,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
9,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
10,bim,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
11,applications,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,multi-scale,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,modeling,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
4,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Time
5,shield,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
6,tunnels,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
7,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
8,gis,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Manner
9,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
10,bim,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
11,applications,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,global,_,Global,_,JJ,1,_,_,_,_,_,global.a,Political_locales,O
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,model,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
4,updating,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
6,heritage,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
7,structures,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
8,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,global,_,Global,_,JJ,1,_,_,_,_,_,_,_,B-Time
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
3,model,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
4,updating,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,heritage,_,UNK,_,NNP,1,_,_,_,_,_,_,_,S-Cognizer
7,structures,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Degree
8,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Participants
2,hybrid,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
3,optimization,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
4,algorithm,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Participants
5,with,_,with,_,IN,1,_,_,_,_,_,with.prep,Accompaniment,O
6,bayesian,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Co-participant
