ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,design,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Time
2,guidelines,_,Guidelines,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
4,spatial,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Cognizer
5,modulation,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Cognizer
6,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Cognizer
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Time
2,survey,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
3,on,_,on,_,IN,1,_,_,_,_,_,on.prep,Being_in_operation,O
4,software-defined,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Duration
5,networking,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Duration
6,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,S-Speed
2,smart,_,smart,_,JJ,2,_,_,_,_,_,smart.a,Speed_description,S-Degree
3,grid,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
4,concept,_,concept,_,NN,2,_,_,_,_,_,_,_,O
5,continues,_,continue,_,VBZ,2,_,_,_,_,_,_,_,O
6,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
7,evolve,_,evolve,_,VB,2,_,_,_,_,_,_,_,O
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,O
9,various,_,various,_,JJ,2,_,_,_,_,_,_,_,O
10,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,O
11,have,_,have,_,VBP,2,_,_,_,_,_,_,_,O
12,been,_,be,_,VBN,2,_,_,_,_,_,_,_,O
13,developed,_,develop,_,VBN,2,_,_,_,_,_,_,_,O
14,to,_,to,_,TO,2,_,_,_,_,_,_,_,O
15,enhance,_,enhance,_,VB,2,_,_,_,_,_,_,_,O
16,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
17,energy,_,energy,_,NN,2,_,_,_,_,_,_,_,O
18,efficiency,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
19,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,O
21,electricity,_,electricity,_,NN,2,_,_,_,_,_,_,_,O
22,infrastructure,_,infrastructure,_,NN,2,_,_,_,_,_,_,_,O
23,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
2,smart,_,smart,_,JJ,2,_,_,_,_,_,_,_,O
3,grid,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
4,concept,_,concept,_,NN,2,_,_,_,_,_,_,_,O
5,continues,_,continue,_,VBZ,2,_,_,_,_,_,continue.v,Process_continue,O
6,to,_,to,_,TO,2,_,_,_,_,_,_,_,B-Manner
7,evolve,_,evolve,_,VB,2,_,_,_,_,_,_,_,I-Manner
8,and,_,and,_,CC,2,_,_,_,_,_,_,_,I-Manner
9,various,_,various,_,JJ,2,_,_,_,_,_,_,_,I-Manner
10,methods,_,method,_,NNS,2,_,_,_,_,_,_,_,I-Manner
11,have,_,have,_,VBP,2,_,_,_,_,_,_,_,I-Manner
12,been,_,be,_,VBN,2,_,_,_,_,_,_,_,I-Manner
13,developed,_,develop,_,VBN,2,_,_,_,_,_,_,_,I-Manner
14,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Manner
15,enhance,_,enhance,_,VB,2,_,_,_,_,_,_,_,I-Manner
16,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
17,energy,_,energy,_,NN,2,_,_,_,_,_,_,_,I-Manner
18,efficiency,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Manner
19,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Manner
20,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Manner
21,electricity,_,electricity,_,NN,2,_,_,_,_,_,_,_,I-Manner
22,infrastructure,_,infrastructure,_,NN,2,_,_,_,_,_,_,_,I-Manner
23,.,_,.,_,.,2,_,_,_,_,_,_,_,I-Manner
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Trajector
