ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,location,_,Location,_,NN,1,_,_,_,_,_,location.n,Locale,O
2,fingerprinting,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
3,with,_,With,_,IN,1,_,_,_,_,_,_,_,O
4,bluetooth,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,low,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
6,energy,_,Energy,_,NNP,1,_,_,_,_,_,_,_,O
7,beacons,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
8,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,location,_,Location,_,NN,1,_,_,_,_,_,_,_,O
2,fingerprinting,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
3,with,_,With,_,IN,1,_,_,_,_,_,with.prep,Accompaniment,O
4,bluetooth,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Co-participant
5,low,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Co-participant
6,energy,_,Energy,_,NNP,1,_,_,_,_,_,_,_,I-Co-participant
7,beacons,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Co-participant
8,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Co-participant
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,B-Chosen
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,I-Chosen
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,select.v,Choosing,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,_,_,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,journal,_,journal,_,NN,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,_,_,O
4,selected,_,select,_,VBN,0,_,_,_,_,_,_,_,O
5,areas,_,area,_,NNS,0,_,_,_,_,_,area.n,Fields,O
6,in,_,in,_,IN,0,_,_,_,_,_,_,_,O
7,communications,_,communication,_,NNS,0,_,_,_,_,_,_,_,O
8,.,_,.,_,.,0,_,_,_,_,_,_,_,O
