ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,a,_,A,_,DT,1,_,_,_,_,_,_,_,B-Degree
2,new,_,new,_,JJ,1,_,_,_,_,_,_,_,I-Degree
3,criterion,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
4,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,I-Degree
5,assessing,_,assess,_,VBG,1,_,_,_,_,_,_,_,B-Manner
6,discriminant,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
7,validity,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
8,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
9,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
10,structural,_,structural,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,equation,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
12,modeling,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
